,0,1,2,3
1090,bird,head,grebe,
1091,birds,grebe,,
1092,birds,grebe,,
1093,birds,grebe,,
1094,birds,grebe,,
1095,birds,grebe,,
1096,bird,head,grebe,
1097,birds,grebe,,
1098,birds,grebe,,
1099,birds,grebe,,
1100,birds,grebe,foot,
1101,birds,grebe,foot,
1102,birds,grebe,,
1103,birds,grebe,,
1104,birds,grebe,,
1105,birds,grebe,,
1106,birds,grebe,,
1107,birds,grebe,,
1108,birds,grebe,,
1109,bird,head,grebe,
1110,bird,grebe,,
1111,bird,grebe,,
1112,bird,grebe,,
1113,bird,grebe,,
1114,bird,grebe,,
1115,bird,grebe,,
1116,bird,grebe,,
1117,bird,grebe,,
1118,bird,grebe,,
1119,bird,grebe,,
1120,bird,grebe,,
1121,bird,grebe,,
1122,bird,grebe,,
1123,bird,grebe,,
1124,bird,grebe,,
1125,bird,grebe,,
1126,bird,grebe,,
1127,bird,grebe,,
1128,bird,grebe,,
1129,bird,grebe,,
1130,bird,grebe,,
1131,bird,grebe,,
1132,bird,grebe,,
1133,,,,
1134,,,,
1135,,,,
1136,,,,
1137,octopus,,,
1138,octopus,,,
1139,octopus,,,
1140,octopus,,,
1141,octopus,,,
1142,fish,,,
1143,octopus,,,
1144,crab,,,
1145,crab,,,
1146,octopus,,,
1147,octopus,,,
1148,octopus,,,
1149,octopus,,,
1150,crab,,,
1151,octopus,,,
1152,octopus,,,
1153,octopus,,,
1154,octopus,,,
1155,octopus,tentacle,,
1156,octopus,tentacle,,
1157,octopus,,,
1158,octopus,,,
1159,octopus,tentacles,,
1160,octopus,tentacles,,
1161,octopus,tentacles,eggs,
1162,octopus,tentacles,eggs,
1163,octopus,tentacles,eggs,
1164,octopus,tentacles,eggs,
1165,octopus,tentacles,eggs,
1166,octopus,tentacles,eggs,
1167,octopus,tentacles,eggs,
1168,octopus,tentacles,eggs,
1169,octopus,tentacles,eggs,
1170,octopus,tentacles,eggs,
1171,octopus,tentacles,eggs,
1172,octopus,tentacles,eggs,
1173,octopus,tentacles,eggs,fish
1174,octopus,tentacles,eggs,fish
1175,octopus,tentacles,fish,
1176,octopus,tentacles,fish,
1177,octopus,tentacles,fish,
1178,octopus,eye,,
1179,octopus,eye,,
1180,octopus,tentacles,,
1181,eggs,,,
1182,eggs,,,
1183,octopus,eye,,
1184,octopus,eye,,
1185,eggs,,,
1186,eggs,,,
1187,eggs,,,
1188,eggs,,,
1189,eggs,,,
1190,eggs,,,
1191,eggs,octopus,baby,
1192,eggs,octopus,baby,
1193,eggs,octopus,baby,
1194,eggs,octopus,baby,
1195,octopus,tentacles,,
1196,octopus,tentacles,,
1197,octopus,tentacles,,
1198,fish,,,
1199,fish,,,
1200,fish,,,
1201,,,,
1202,,,,
1203,,,,
1204,,,,
1205,,,,
1206,,,,
1207,frog,,,
1208,frog,,,
1209,frog,,,
1210,frog,,,
1211,frog,eggs,,
1212,frog,eggs,,
1213,eggs,,,
1214,eggs,,,
1215,eggs,,,
1216,frog,head,eye,
1217,tadpole,,,
1218,tadpole,,,
1219,tadpole,,,
1220,tadpole,,,
1221,frog,head,eyes,
1222,,,,
1223,,,,
1224,,,,
1225,frog,head,eye,
1226,frog,tadpole,back,
1227,frog,tadpole,back,
1228,frog,tadpole,back,
1229,frog,head,eye,
1230,,,,
1231,,,,
1232,frog,head,eye,
1233,frog,tadpole,back,
1234,frog,tadpole,back,
1235,frog,tadpole,back,
1236,frog,tadpole,back,
1237,frog,tadpole,back,
1238,frog,tadpole,back,
1239,,,,
1240,,,,
1241,,,,
1242,,,,
1243,,,,
1244,,,,
1245,frog,tadpole,back,
1246,frog,tadpole,back,
1247,frog,tadpole,back,
1248,frog,tadpole,back,
1249,frog,,,
1250,frog,,,
1251,frog,,,
1252,frog,,,
1253,frog,,,
1254,frog,,,
1255,frog,tadpole,,
1256,frog,,,
1257,tadpole,,,
1258,frog,,,
1259,tadpole,,,
1260,frog,,,
1261,frog,,,
1262,tadpole,,,
1263,frog,tadpole,back,
1264,frog,tadpole,,
1265,frog,tadpole,,
1266,frog,tadpole,,
1267,frog,tadpole,,
1268,frog,tadpole,,
1269,frog,tadpole,,
1270,frog,tadpole,,
1271,frog,tadpole,,
1272,frog,tadpole,,
1273,frog,tadpole,,
1274,frog,tadpole,,
1275,tadpole,,,
1276,tadpole,,,
1277,frog,,,
1278,frog,,,
1279,frog,,,
1280,frog,egg,,
1281,frog,egg,,
1282,frog,egg,,
1283,egg,,,
1284,frog,,,
1285,frog,,,
1286,tadpole,egg,,
1287,tadpole,egg,,
1288,tadpole,egg,,
1289,frog,,,
1290,tadpole,egg,,
1291,tadpole,egg,,
1292,frog,,,
1293,frog,,,
1294,frog,,,
1295,frog,,,
1296,frog,legs,egg,
1297,tadpole,,,
1298,tadpole,egg,,
1299,tadpole,egg,,
1300,frog,,,
1301,tadpole,leg,,
1302,tadpole,legs,,
1303,tadpole,legs,tail,
1304,tadpole,legs,,
1305,frog,,,
1306,frog,,,
1307,frog,leg,,
1308,frog,leg,,
1309,frog,head,eye,
1310,frog,head,eye,
1311,,,,
1312,,,,
1313,,,,
1314,,,,
1315,,,,
1316,,,,
1317,penguins,,,
1318,penguins,,,
1319,penguins,,,
1320,penguins,,,
1321,penguins,,,
1322,penguins,,,
1323,penguins,,,
1324,penguins,,,
1325,penguins,,,
1326,penguins,,,
1327,penguins,,,
1328,penguins,,,
1329,penguins,,,
1330,penguins,,,
1331,penguins,,,
1332,penguins,,,
1333,penguins,,,
1334,penguins,,,
1335,penguins,,,
1336,penguins,,,
1337,penguins,,,
1338,penguins,,,
1339,penguins,,,
1340,penguins,,,
1341,penguins,,,
1342,penguins,,,
1343,penguins,,,
1344,penguins,,,
1345,penguins,,,
1346,penguins,,,
1347,penguins,,,
1348,penguins,,,
1349,penguins,,,
1350,penguins,,,
1351,penguins,,,
1352,penguins,,,
1353,penguins,,,
1354,penguins,,,
1355,penguins,feet,,
1356,penguin,,,
1357,penguin,,,
1358,penguin,penguins,,
1359,penguin,,,
1360,penguin,,,
1361,penguin,,,
1362,penguin,,,
1363,penguin,,,
1364,,,,
1365,,,,
1366,,,,
1367,penguins,,,
1368,penguins,,,
1369,penguins,,,
1370,penguin,,,
1371,penguin,,,
1372,penguin,,,
1373,,,,
1374,,,,
1375,,,,
1376,penguin,,,
1377,penguin,,,
1378,penguin,,,
1379,penguin,,,
1380,penguin,,,
1381,penguin,head,,
1382,penguin,,,
1383,penguin,,,
1384,penguin,,,
1385,penguin,,,
1386,penguin,,,
1387,penguin,,,
1388,penguin,,,
1389,penguin,,,
1390,penguin,,,
1391,penguin,seal,,
1392,penguin,seal,,
1393,penguin,seal,,
1394,penguin,head,,
1395,penguin,head,,
1396,penguin,seal,,
1397,seal,penguin,,
1398,seal,penguin,,
1399,seal,penguin,,
1400,seal,penguin,,
1401,seal,penguin,,
1402,seal,penguin,,
1403,seal,penguin,birds,
1404,seal,penguin,birds,
1405,penguin,head,,
1406,seal,penguin,,
1407,seal,penguin,,
1408,seal,penguin,,
1409,seal,penguin,,
1410,seal,penguin,,
1411,seal,penguin,,
1412,seal,penguin,,
1413,penguins,,,
1414,penguins,,,
1415,seal,penguin,birds,
1416,seal,penguin,birds,
1417,seal,penguin,,
1418,seal,penguin,,
1419,seal,penguin,,
1420,seal,penguin,,
1421,penguin,,,
1422,penguin,,,
1423,penguin,,,
1424,penguin,,,
1425,penguin,,,
1426,penguin,,,
1427,penguin,,,
1428,penguin,,,
1429,seal,,,
1430,seal,,,
1431,penguin,,,
1432,penguin,,,
1433,penguin,,,
1434,penguin,,,
1435,penguin,,,
1436,,,,
1437,,,,
1438,,,,
1439,,,,
1440,,,,
1441,penguins,,,
1442,penguins,,,
1443,penguins,,,
1444,penguins,,,
1445,penguins,,,
